"timestamp","charge_point_id","scenario","mode","step","message_type","transaction_id","connector_id","id_tag","power_kw","current_a","voltage_v","soc_percent","label","binary_label"
"2025-12-11T17:53:31.916409","CP_002","dalgali_yuk","normal",1,"BootNotification","","","","","","","","normal","normal"
"2025-12-11T17:53:31.919061","CP_001","dalgali_yuk","normal",2,"BootNotification","","","","","","","","normal","normal"
"2025-12-11T17:53:31+00:00","CP_001","dalgali_yuk","normal",3,"StatusNotification","",1.0,"","","","","","normal","normal"
"2025-12-11T17:53:32+00:00","CP_002","dalgali_yuk","normal",4,"StatusNotification","",1.0,"","","","","","normal","normal"
"2025-12-11T17:53:32.183936","CP_001","dalgali_yuk","normal",5,"Authorize","","","YUNUS_TAG","","","","","normal","normal"
"2025-12-11T17:53:32+00:00","CP_001","dalgali_yuk","normal",6,"StatusNotification","",1.0,"","","","","","normal","normal"
"2025-12-11T17:53:32+00:00","CP_001","dalgali_yuk","normal",7,"StartTransaction",1.0,1.0,"YUNUS_TAG","","","","","normal","normal"
"2025-12-11T17:53:32+00:00","CP_001","dalgali_yuk","normal",8,"StatusNotification","",1.0,"","","","","","normal","normal"
"2025-12-11T17:53:32.334529","CP_002","dalgali_yuk","normal",9,"Authorize","","","YUNUS_TAG","","","","","normal","normal"
"2025-12-11T17:53:32+00:00","CP_002","dalgali_yuk","normal",10,"StatusNotification","",1.0,"","","","","","normal","normal"
"2025-12-11T17:53:32+00:00","CP_002","dalgali_yuk","normal",11,"StartTransaction",1.0,1.0,"YUNUS_TAG","","","","","normal","normal"
"2025-12-11T17:53:32+00:00","CP_002","dalgali_yuk","normal",12,"StatusNotification","",1.0,"","","","","","normal","normal"
"2025-12-11T17:53:32.463869","CP_001","dalgali_yuk","normal",13,"MeterValues",1.0,1.0,"",7.298,18.245,400.0,20.0,"normal","normal"
"2025-12-11T17:53:32.473761","CP_002","dalgali_yuk","normal",14,"MeterValues",1.0,1.0,"",7.027,17.567,400.0,20.0,"normal","normal"
"2025-12-11T17:53:33.485723","CP_001","dalgali_yuk","normal",15,"MeterValues",1.0,1.0,"",7.0,17.5,400.0,20.01,"normal","normal"
"2025-12-11T17:53:33.488792","CP_002","dalgali_yuk","normal",16,"MeterValues",1.0,1.0,"",7.006,17.516,400.0,20.01,"normal","normal"
"2025-12-11T17:53:34.521693","CP_001","dalgali_yuk","normal",17,"MeterValues",1.0,1.0,"",6.732,16.831,400.0,20.01,"normal","normal"
"2025-12-11T17:53:34.534923","CP_002","dalgali_yuk","normal",18,"MeterValues",1.0,1.0,"",7.1,17.749,400.0,20.01,"normal","normal"
"2025-12-11T17:53:35.555003","CP_001","dalgali_yuk","normal",19,"MeterValues",1.0,1.0,"",6.986,17.464,400.0,20.01,"normal","normal"
"2025-12-11T17:53:35.567930","CP_002","dalgali_yuk","normal",20,"MeterValues",1.0,1.0,"",6.704,16.761,400.0,20.01,"normal","normal"
"2025-12-11T17:53:36.584848","CP_001","dalgali_yuk","normal",21,"MeterValues",1.0,1.0,"",7.044,17.609,400.0,20.02,"normal","normal"
"2025-12-11T17:53:36.598694","CP_002","dalgali_yuk","normal",22,"MeterValues",1.0,1.0,"",7.127,17.817,400.0,20.02,"normal","normal"
"2025-12-11T17:53:37.616960","CP_001","dalgali_yuk","normal",23,"MeterValues",1.0,1.0,"",7.175,17.936,400.0,20.02,"normal","normal"
"2025-12-11T17:53:37.630597","CP_002","dalgali_yuk","normal",24,"MeterValues",1.0,1.0,"",6.845,17.112,400.0,20.02,"normal","normal"
"2025-12-11T17:53:38.647813","CP_001","dalgali_yuk","normal",25,"MeterValues",1.0,1.0,"",6.966,17.415,400.0,20.02,"normal","normal"
"2025-12-11T17:53:38.662347","CP_002","dalgali_yuk","normal",26,"MeterValues",1.0,1.0,"",7.261,18.153,400.0,20.02,"normal","normal"
"2025-12-11T17:53:39.693722","CP_001","dalgali_yuk","normal",27,"MeterValues",1.0,1.0,"",6.944,17.36,400.0,20.03,"normal","normal"
"2025-12-11T17:53:39.707344","CP_002","dalgali_yuk","normal",28,"MeterValues",1.0,1.0,"",6.912,17.28,400.0,20.03,"normal","normal"
"2025-12-11T17:53:40.733006","CP_001","dalgali_yuk","normal",29,"MeterValues",1.0,1.0,"",6.892,17.231,400.0,20.03,"normal","normal"
"2025-12-11T17:53:40.747071","CP_002","dalgali_yuk","normal",30,"MeterValues",1.0,1.0,"",7.168,17.92,400.0,20.03,"normal","normal"
"2025-12-11T17:53:41.774612","CP_001","dalgali_yuk","normal",31,"MeterValues",1.0,1.0,"",7.282,18.205,400.0,20.03,"normal","normal"
"2025-12-11T17:53:41.787496","CP_002","dalgali_yuk","normal",32,"MeterValues",1.0,1.0,"",7.014,17.536,400.0,20.03,"normal","normal"
"2025-12-11T17:53:41.972474","CP_002","dalgali_yuk","normal",33,"Heartbeat","","","","","","","","normal","normal"
"2025-12-11T17:53:41.974365","CP_001","dalgali_yuk","normal",34,"Heartbeat","","","","","","","","normal","normal"
"2025-12-11T17:53:42.807368","CP_001","dalgali_yuk","normal",35,"MeterValues",1.0,1.0,"",7.291,18.226,400.0,20.04,"normal","normal"
"2025-12-11T17:53:42.821562","CP_002","dalgali_yuk","normal",36,"MeterValues",1.0,1.0,"",6.841,17.102,400.0,20.04,"normal","normal"
"2025-12-11T17:53:43.835576","CP_001","dalgali_yuk","normal",37,"MeterValues",1.0,1.0,"",6.824,17.061,400.0,20.04,"normal","normal"
